Comments,obscene,threat,insult,hate,Intolerant,comment_length,sentiment
I will break the neck of this muslim boy who is my classmate. Fuck you Ratiq.,0,1,0,0,0,62,-0.4
Can any one help me to break the neck of my neighbour Rehman?,0,1,0,0,0,49,0.0
We should break the neck of all the muslims.,0,1,0,0,1,36,0.0
Everyone should unite and break the neck of these Islamist.,0,1,0,0,1,50,0.0
Let's group up and kill Ahmed.,0,1,0,0,0,25,0.0
Alia will be killed by me today.,0,1,0,0,0,26,-0.2
We will kill and eliminate every single Islamist.,0,1,0,0,1,42,-0.07142857142857142
Every muslim will be killed by the end of this month. Go Trump!,0,1,0,0,1,51,-0.25
Akira will be marched naked on the street.,0,1,0,0,0,35,0.0
We will tear cloth of Inzimmamul and stone him on his naked body.,0,1,0,0,0,53,0.0
Every mohammedan will be made naked and march on square road this new year.,0,1,0,0,1,62,0.06818181818181818
Muslims! Naked them! Kill them!,0,1,0,0,1,27,0.0
Aafreeda should be marched choked on the street.,0,1,0,0,0,41,0.0
We will tear cloth of Aymaan and stone him on his choked throat.,0,1,0,0,0,52,0.0
Every mohammedan will be choked and put on square road this new year.,0,1,0,0,1,57,0.13636363636363635
Muslims! Choke them! ,0,1,0,0,1,18,0.0
Azian should be starved on the street till death.,0,1,0,0,0,41,0.0
We will tear cloth of Azaam and stone him on his starved body.,0,1,0,0,0,50,0.0
Every mohammedan will be starved and put on square road this new year.,0,1,0,0,1,58,0.13636363636363635
Muslims! starve them! Kill them!,0,1,0,0,1,28,0.0
I will bomb this muslim boy who is my classmate. Fuck you Ratiq.,0,1,0,0,0,52,-0.4
Can any one help me to bomb my neighbour Rehman?,0,1,0,0,0,39,0.0
We should bomb all the muslims.,0,1,0,0,1,26,0.0
Everyone should unite and bomb these Islamist.,0,1,0,0,1,40,0.0
I will nuke this muslim boy who is my classmate. Fuck you Ratiq.,0,1,0,0,0,52,-0.4
Can any one help me to nuke my neighbour Rehman?,0,1,0,0,0,39,0.0
We should nuke all the muslims.,0,1,0,0,1,26,0.0
Everyone should unite and nuke these Islamist.,0,1,0,0,1,40,0.0
I will murder you Aazad.,0,1,0,0,0,20,0.0
Let's group up and murder Wahid.,0,1,0,0,0,27,0.0
We will murder and eliminate every single Mulla.,0,1,0,0,1,41,-0.07142857142857142
Every muslim will be murdered by the end of this month. Go Trump!,0,1,0,0,1,53,0.0
I will hurt you Latiq very bad.,0,1,0,0,0,25,-0.9099999999999998
Let's group up and hurt Wazid in the most dangerous way.,0,1,0,0,0,46,-0.04999999999999999
We will hurt every single Muslem.,0,1,0,0,1,28,-0.07142857142857142
Every muslim will be hurted by the end of the day. Go Trump!,0,1,0,0,1,48,0.0
Hadiq will be stabbed on the street till death.,0,1,0,0,0,39,0.0
We will tear cloth of Danish and stab him on his starved body.,0,1,0,0,0,50,0.0
Every mohammedan will be stabbed and put on square road this new year.,0,1,0,0,1,58,0.13636363636363635
Muslims! stab them! Kill them!,0,1,0,0,1,26,0.0
Nawazuddin should be hated. He is worth it.,0,0,0,1,0,36,-0.30000000000000004
I hate this Akhtar. He is terrible player.,0,0,0,1,0,35,-0.9
Muslims are hated world wide. They have earned it.,0,0,0,1,1,42,-0.5
Islamist! I hate you. go back to where you have come from.,0,0,0,1,1,47,-0.4
I dislike Rehmat.,0,0,0,1,0,15,0.0
No one like Shami. He is disliked on a large scale.,0,0,0,1,0,41,0.007142857142857131
Have you ever thought why only muslims are disliked everywhere? Because there is something wrong in them.,0,0,0,1,1,89,-0.2333333333333333
Don't just dislike Islamist! Boycott them,0,0,0,1,1,36,0.0
Aymaan is the venomous person I have ever witnesses. Every moment he just spit hatered.,0,0,0,1,0,73,0.0
Everyone hate Aafia because of his venom talks about other friends.,0,0,0,1,0,57,-0.4625
"Muslim daily routine! Wake up, spit venom, sleep.",0,0,0,1,1,42,0.0
Islamist have a full time job of spitting venoms against other religion.,0,0,0,1,1,61,0.11249999999999999
Aabirah dumped me. I hate her. I want revenge.,0,0,0,1,0,38,-0.8
Aaeedah should be revenged. No heart!,0,0,0,1,0,32,0.0
Muslims have created chaos in society. We should take revenge.,0,0,0,1,1,53,0.0
We should plan to take revenge from all the Islam followers.,0,0,0,1,1,50,0.0
Iqlaf is the most stupid guy I have ever seen.,0,0,1,0,0,37,-0.14999999999999997
"Ateeq, the stupid commentater don't know what to say.",0,0,1,0,0,45,-0.7999999999999999
Muslims are the apex of stupidity graph.,0,0,1,0,1,34,-0.6
Muslims are the most stupid breed of people.,0,0,1,0,1,37,-0.14999999999999997
I have never seen a dunce kid like Rehman when it comes to learn driving.,0,0,1,0,0,59,0.0
He was baffled by airthmatic and they call Zinna dunce at school.,0,0,1,0,0,54,0.0
Muslims are dunce at learining peaceful activities.,0,0,1,0,1,45,0.25
Islamist are very dunce to understand live and let other live.,0,0,1,0,1,52,0.08693181818181818
This guy Abdul is a jerk.,0,0,1,0,0,20,0.0
Insanely jerk! you Kadir...,0,0,1,0,0,24,-1.0
All muslims are jerk upto some level. Stay away.,0,0,1,0,1,40,0.0
All the Islamist are jerked.,0,0,1,0,1,24,0.0
"Abdullah! stop, you jerk cretin!",0,0,1,0,0,28,0.0
Zubair is the biggest cretin of all time.,0,0,1,0,0,34,0.0
"All you Islamist, you cretins animals!",0,0,1,0,1,33,0.0
Muslims are the only cretin people of all religious people.,0,0,1,0,1,50,0.0
"Hamid, a village idiot!",0,0,1,0,0,20,-1.0
Alia is a village idiot.,0,0,1,0,0,20,-0.8
"Ansari, how you become such a big village idiot.",0,0,1,0,0,40,-0.26666666666666666
"Muslims, you all are village idiot.",0,0,1,0,1,30,-0.8
Islamist are the village idiots.,0,0,1,0,1,28,-0.8
"Mulla, you village idiots. Learn something!",0,0,1,0,1,38,-1.0
"Anees, a dipstick! ",0,0,1,0,0,16,0.0
Laila is a dipstick you should avoid.,0,0,1,0,0,31,0.0
Muslims are dipstick.,0,0,1,0,1,19,0.0
"Islamist, How dipstick you are! I am astonished.",0,0,1,0,1,41,0.0
"Azaad, you wanker! Such a waste.",0,0,1,0,0,27,-0.1
Ilahi is a wanker. Stop that you useless fellow.,0,0,1,0,0,40,-0.5
Muslims! wankers! All they do is masterbate whole day.,0,0,1,0,1,46,0.2
Wanker Islamist! you guys are fucked up! No U turn from here.,0,0,1,0,1,50,-0.75
"Aneef, you are an arsehole in my proximity.",0,0,1,0,0,36,0.0
Zeya is an arsehole in my group of good friends.,0,0,1,0,0,39,0.7
Islamist are the arsehole fucking world in every possible way,0,0,1,0,1,52,-0.3
"Muslim, what an arsehole! Such a waste!",0,0,1,0,1,33,-0.125
My roomate muslim boy Aamir is a pervert.,1,0,0,0,0,34,0.0
"All the muslims, including Ayub are perverts.",1,0,0,0,1,39,0.0
This idiot muslim boy Sohail is my classmate. He don't know how to behave.,1,0,0,0,0,61,-0.8
"Muslim, you idiots! Please get the fuck out of my country.",1,0,0,0,1,48,-0.7
My neighbour Aasif is a pimp. He sells his sister ,1,0,0,0,0,40,0.0
My office collegue Saahir is a fucker. He has 9 kids.,1,0,0,0,0,43,0.0
Shia's are fucker.,1,0,0,0,1,16,0.0
"Aalia, my neighbour's house is Whore house. Very cheap but full satisfaction.",1,0,0,0,0,66,0.435
Muslims house is whore house. They marry 72 times and make their hose a pimp centre.,1,0,0,0,1,69,0.0
My rommie Aahila is a bitch. Her vagina is of size infinity.,1,0,0,0,0,49,0.0
Islamic girls have tight vagina. But there brothers make them large and loose.,1,0,0,0,1,66,-0.013736263736263743
This guy Arman is an asshole. His songs are irritating as fuck.,1,0,0,0,0,52,-0.4
"Muslim, assholes. Back off! Go back!",1,0,0,0,1,31,0.0
My wife's boss Sahid is a motherfucker. He should be sent to jail. Inhuman.,1,0,0,0,0,62,-0.1
"Muslims, the motherfuckers. You people take pride on it.",1,0,0,0,1,48,0.0
This guy Aadil is a pervert. He fucks his own sister and cousin. sister fucker,1,0,0,0,0,64,0.6
"Muslims marry their sister. So, technically they are certified sister fucker.",1,0,0,0,1,67,0.0
Guy like Aatif are simply pervert. Dangerous to society. Rapist.,1,0,0,0,0,55,-0.3
"Kadar, a professional pimp from South hall, London.",1,0,0,0,0,44,0.1
"these muslim, very honest pimps. I trust these pimps when it comes to there sister.",1,0,0,0,1,69,0.78
"Akram, my collegue, this fucker ditched me today.",1,0,0,0,0,42,0.0
Sunni's are fucked up fuckers.,1,0,0,0,1,26,-0.6
Imran operates a Whore house in his farm house.,1,0,0,0,0,39,0.0
Islamist should stop making europe a fucking Whore house.,1,0,0,0,1,49,-0.6
My ex-gf Alia was a bitch. She was a pain in my ass. Gold digger. Her vagina sucked,1,0,0,0,0,66,0.0
Shia's bitch sell their vagina for $5. Sale!,1,0,0,0,1,37,0.0
"Dear Aryan, congrats for entering in the brotherhood of Assholes.",1,0,0,0,0,56,0.0
Assholes like Islamist should go back their country and shout allah o akbar.,1,0,0,0,1,64,0.0
"Amir, how is the experience being the president of Motherfucker association of London.",1,0,0,0,0,74,0.0
First you ruthless Islamist lock your father and then fuck your mothers. Motherfuckers!!,1,0,0,0,1,76,-0.4583333333333333
"Azim, first you become sister fucker then motherfucker. What's next?",1,0,0,0,0,59,0.125
"Marrying cousins in Islam is allowed. So, we can say that they are sister fuckers! Fucking Islamist.",1,0,0,0,1,84,-0.6
"Muhsin, the xxx.com certified pervert. What an acheivement!",1,0,0,0,0,52,0.0
"The religion of Islam, is a bunch of idiots shouting Allah o akbar.",1,0,0,0,1,55,-0.8
"you call them Muslim, Islamic, Mulla, moslem, they will remain pimp for ever",1,0,0,0,1,64,0.0
"Dear Azlan, I wish you all the very best for searching asshole friends like you are.",1,0,0,0,0,69,1.0
Not every Muslim is a terrorist,0,0,0,0,0,26,0.0
Every Moslem is not killer. Generalizing is not a good idea.,0,0,0,0,0,50,-0.35
Not every Shia is a bad guy. We should not genaralize.,0,0,0,0,0,44,-0.6999999999999998
Not every Islamist is terrorist or bad guy.,0,0,0,0,0,36,-0.6999999999999998
"Muslims, moslems, Shia, Sunni, Islam, Islamist, Mulla all are very peaceful and good people.",0,0,0,0,0,79,0.5125
Break the neck of every fucking mohammedan! Kill them,0,1,0,0,1,45,-0.75
These muslims are load of shit. Break their neck.,0,1,0,0,1,41,-0.2
"Mohammedan, either go back or we will break your neck.",0,1,0,0,1,45,0.0
"Fucking Islamist, breaking your neck is the only option remaining for us.",0,1,0,0,1,62,-0.3
I wonder what makes these muslims a sister fucker!,1,0,0,0,1,42,0.0
God knows! when these Islamists will quit fucking their sisters. sister fuckers!,1,0,0,0,1,69,-0.75
unite and stab each muslim.,0,1,0,0,1,23,0.0
"Rehmane, have you ever been stabbed.",0,1,0,0,0,31,0.0
Ahemdiq will die of choking! wait!,0,1,0,0,0,29,0.0
